impd,u,metric,value,reg
MILR,0,bfm,209.7570628,no_length
MILR,0.02,bfm,164.5998751,no_length
MILR,0.04,bfm,128.520199,no_length
MILR,0.06,bfm,99.82764735,no_length
MILR,0.08,bfm,77.12062155,no_length
MILR,0.1,bfm,59.24159001,no_length
MILR,0.12,bfm,45.23854817,no_length
MILR,0.14,bfm,34.33191336,no_length
MILR,0.16,bfm,25.88618352,no_length
MILR,0.18,bfm,19.38575954,no_length
MILR,0.2,bfm,14.4143956,no_length
MILR,0.22,bfm,10.63780011,no_length
MILR,0.24,bfm,7.788964067,no_length
MILR,0.26,bfm,5.655841493,no_length
MILR,0.28,bfm,4.071051067,no_length
MILR,0.3,bfm,2.903307748,no_length
MILR,0.32,bfm,2.050328958,no_length
MILR,0.34,bfm,1.432992177,no_length
MILR,0.36,bfm,0.990549723,no_length
MILR,0.38,bfm,0.67673224,no_length
MILR,0,bfm,209.7570628,protected_slot
MILR,0.02,bfm,185.8116959,protected_slot
MILR,0.04,bfm,164.1889748,protected_slot
MILR,0.06,bfm,144.705059,protected_slot
MILR,0.08,bfm,127.1872441,protected_slot
MILR,0.1,bfm,111.4735032,protected_slot
MILR,0.12,bfm,97.41203718,protected_slot
MILR,0.14,bfm,84.86083494,protected_slot
MILR,0.16,bfm,73.68724327,protected_slot
MILR,0.18,bfm,63.76754646,protected_slot
MILR,0.2,bfm,54.98655546,protected_slot
MILR,0.22,bfm,47.23720678,protected_slot
MILR,0.24,bfm,40.42017101,protected_slot
MILR,0.26,bfm,34.44347107,protected_slot
MILR,0.28,bfm,29.22211002,protected_slot
MILR,0.3,bfm,24.67770868,protected_slot
MILR,0.32,bfm,20.73815276,protected_slot
MILR,0.34,bfm,17.33724978,protected_slot
MILR,0.36,bfm,14.4143956,protected_slot
MILR,0.38,bfm,11.91425058,protected_slot
MILR,0,bfm,209.7570628,maximum
MILR,0.02,bfm,167.9590562,maximum
MILR,0.04,bfm,133.8752073,maximum
MILR,0.06,bfm,106.1996248,maximum
MILR,0.08,bfm,83.82676256,maximum
MILR,0.1,bfm,65.8239889,maximum
MILR,0.12,bfm,51.4074411,maximum
MILR,0.14,bfm,39.92082949,maximum
MILR,0.16,bfm,30.81688514,maximum
MILR,0.18,bfm,23.64117018,maximum
MILR,0.2,bfm,18.01799449,maximum
MILR,0.22,bfm,13.63820526,maximum
MILR,0.24,bfm,10.24863693,maximum
MILR,0.26,bfm,7.643029045,maximum
MILR,0.28,bfm,5.654237593,maximum
MILR,0.3,bfm,4.147582498,maximum
MILR,0.32,bfm,3.015189643,maximum
MILR,0.34,bfm,2.171200268,maximum
MILR,0.36,bfm,1.547733942,maximum
MILR,0.38,bfm,1.091503613,maximum
ELDR,0,bfm,NA,no_length
ELDR,0.02,bfm,NA,no_length
ELDR,0.04,bfm,NA,no_length
ELDR,0.06,bfm,NA,no_length
ELDR,0.08,bfm,NA,no_length
ELDR,0.1,bfm,NA,no_length
ELDR,0.12,bfm,NA,no_length
ELDR,0.14,bfm,NA,no_length
ELDR,0.16,bfm,NA,no_length
ELDR,0.18,bfm,NA,no_length
ELDR,0.2,bfm,NA,no_length
ELDR,0.22,bfm,NA,no_length
ELDR,0.24,bfm,NA,no_length
ELDR,0.26,bfm,NA,no_length
ELDR,0.28,bfm,NA,no_length
ELDR,0.3,bfm,NA,no_length
ELDR,0.32,bfm,NA,no_length
ELDR,0.34,bfm,NA,no_length
ELDR,0.36,bfm,NA,no_length
ELDR,0.38,bfm,NA,no_length
ELDR,0,bfm,NA,protected_slot
ELDR,0.02,bfm,NA,protected_slot
ELDR,0.04,bfm,NA,protected_slot
ELDR,0.06,bfm,NA,protected_slot
ELDR,0.08,bfm,NA,protected_slot
ELDR,0.1,bfm,NA,protected_slot
ELDR,0.12,bfm,NA,protected_slot
ELDR,0.14,bfm,NA,protected_slot
ELDR,0.16,bfm,NA,protected_slot
ELDR,0.18,bfm,NA,protected_slot
ELDR,0.2,bfm,NA,protected_slot
ELDR,0.22,bfm,NA,protected_slot
ELDR,0.24,bfm,NA,protected_slot
ELDR,0.26,bfm,NA,protected_slot
ELDR,0.28,bfm,NA,protected_slot
ELDR,0.3,bfm,NA,protected_slot
ELDR,0.32,bfm,NA,protected_slot
ELDR,0.34,bfm,NA,protected_slot
ELDR,0.36,bfm,NA,protected_slot
ELDR,0.38,bfm,NA,protected_slot
ELDR,0,bfm,NA,maximum
ELDR,0.02,bfm,NA,maximum
ELDR,0.04,bfm,NA,maximum
ELDR,0.06,bfm,NA,maximum
ELDR,0.08,bfm,NA,maximum
ELDR,0.1,bfm,NA,maximum
ELDR,0.12,bfm,NA,maximum
ELDR,0.14,bfm,NA,maximum
ELDR,0.16,bfm,NA,maximum
ELDR,0.18,bfm,NA,maximum
ELDR,0.2,bfm,NA,maximum
ELDR,0.22,bfm,NA,maximum
ELDR,0.24,bfm,NA,maximum
ELDR,0.26,bfm,NA,maximum
ELDR,0.28,bfm,NA,maximum
ELDR,0.3,bfm,NA,maximum
ELDR,0.32,bfm,NA,maximum
ELDR,0.34,bfm,NA,maximum
ELDR,0.36,bfm,NA,maximum
ELDR,0.38,bfm,NA,maximum
TCRR,0,bfm,25.61440304,no_length
TCRR,0.02,bfm,22.69032377,no_length
TCRR,0.04,bfm,20.04987351,no_length
TCRR,0.06,bfm,17.67060262,no_length
TCRR,0.08,bfm,15.53142139,no_length
TCRR,0.1,bfm,13.61254396,no_length
TCRR,0.12,bfm,11.89543345,no_length
TCRR,0.14,bfm,10.36274822,no_length
TCRR,0.16,bfm,8.998289368,no_length
TCRR,0.18,bfm,7.786949408,no_length
TCRR,0.2,bfm,6.71466207,no_length
TCRR,0.22,bfm,5.768353336,no_length
TCRR,0.24,bfm,4.935893636,no_length
TCRR,0.26,bfm,4.206051221,no_length
TCRR,0.28,bfm,3.568446725,no_length
TCRR,0.3,bfm,3.013508903,no_length
TCRR,0.32,bfm,2.532431547,no_length
TCRR,0.34,bfm,2.117131588,no_length
TCRR,0.36,bfm,1.760208374,no_length
TCRR,0.38,bfm,1.454904127,no_length
TCRR,0,bfm,25.61440304,protected_slot
TCRR,0.02,bfm,24.60007268,protected_slot
TCRR,0.04,bfm,23.60623384,protected_slot
TCRR,0.06,bfm,22.63288652,protected_slot
TCRR,0.08,bfm,21.68003073,protected_slot
TCRR,0.1,bfm,20.74766646,protected_slot
TCRR,0.12,bfm,19.83579371,protected_slot
TCRR,0.14,bfm,18.94441249,protected_slot
TCRR,0.16,bfm,18.07352278,protected_slot
